Order_ID,Order_Date,Product,Category,Quantity,Price,Payment_Method
1001,2026-01-03,Laptop,Electronics,1,55000,UPI
1002,2026-01-04,T-Shirt,Fashion,2,799,Card
1003,2026-01-05,Headphones,Electronics,1,1499,UPI
1004,2026-01-06,Shoes,Fashion,1,2499,Cash on Delivery
1005,2026-01-08,Mixer Grinder,Home & Kitchen,1,3299,UPI
1006,2026-01-10,Smartphone,Electronics,1,22000,Card
1007,2026-01-12,Jeans,Fashion,2,1599,UPI
1008,2026-01-15,Office Chair,Furniture,1,6999,Net Banking
1009,2026-01-18,Water Bottle,Home & Kitchen,3,499,Cash on Delivery
1010,2026-01-20,Smart Watch,Electronics,1,2999,UPI
1011,2026-02-02,Laptop,Electronics,1,62000,Card
1012,2026-02-04,Kurta,Fashion,2,1199,UPI
1013,2026-02-06,Bluetooth Speaker,Electronics,1,2199,Cash on Delivery
1014,2026-02-08,Sofa Cushion,Home & Kitchen,4,399,UPI
1015,2026-02-10,Study Table,Furniture,1,5499,Net Banking
1016,2026-02-12,Smartphone,Electronics,1,18500,Card
1017,2026-02-15,T-Shirt,Fashion,3,699,UPI
1018,2026-02-18,Bedsheet,Home & Kitchen,2,899,Cash on Delivery
1019,2026-02-20,Gaming Mouse,Electronics,1,1299,UPI
1020,2026-02-25,Dining Chair,Furniture,2,2499,Card
1021,2026-03-01,Laptop,Electronics,1,48000,Net Banking
1022,2026-03-03,Shoes,Fashion,2,1999,UPI
1023,2026-03-05,Air Fryer,Home & Kitchen,1,4999,Card
1024,2026-03-07,Bookshelf,Furniture,1,3999,Cash on Delivery
1025,2026-03-09,Headphones,Electronics,2,1799,UPI
1026,2026-03-11,Saree,Fashion,1,2499,Card
1027,2026-03-14,Smart Watch,Electronics,2,2699,UPI
1028,2026-03-17,Curtains,Home & Kitchen,2,1299,Net Banking
1029,2026-03-20,Office Chair,Furniture,1,7999,Card
1030,2026-03-24,Backpack,Fashion,1,1499,Cash on Delivery
1031,2026-04-02,Smartphone,Electronics,1,25000,UPI
1032,2026-04-04,Jeans,Fashion,1,1799,Card
1033,2026-04-06,Microwave Oven,Home & Kitchen,1,8999,Net Banking
